max_depth	min_split	cp	minbucket	ganancia_promedio
6	450	-1	337	49170000
6	450	-1000	337	49170000
6	450	-1	225	50130000
6	450	-1000	225	50130000
6	450	-1	112	49686000
6	450	-1000	112	49686000
6	600	-1	450	49364000
6	600	-1000	450	49364000
6	600	-1	300	49210000
6	600	-1000	300	49210000
6	600	-1	150	48938000
6	600	-1000	150	48938000
6	750	-1	562	50146000
6	750	-1000	562	50146000
6	750	-1	375	49628000
6	750	-1000	375	49628000
6	750	-1	187	49872000
6	750	-1000	187	49872000
6	900	-1	675	49822000
6	900	-1000	675	49822000
6	900	-1	450	49364000
6	900	-1000	450	49364000
6	900	-1	225	50294000
6	900	-1000	225	50294000
